"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LYVE1",3.30302583643337,5.18830386613768,20.5036542051436,4.06846866684652e-07,0.000259225000079858,7.46742111162638
"LOC117868764",-1.35835006705139,4.56783890223859,-20.4685494371252,4.11309433153893e-07,0.000259225000079858,7.44463124718367
"PRSS12",1.5320673874303,4.23870971469545,20.3703517356841,4.24095266239788e-07,0.000259225000079858,7.42424915767452
"LOC117874360",-1.64919522110094,3.83600073217276,-20.2834845761969,4.35788986909917e-07,0.000259225000079858,7.39893009967475
"LOC117875210",1.43816787555535,4.5438854816207,20.1444903117257,4.55281973707291e-07,0.000259225000079858,7.34664886522055
"LOC117885280",3.07308772292003,5.25461591086775,20.037598331167,4.70958203976636e-07,0.000259225000079858,7.31987408206032
"S100A1",2.8239271637444,4.77790792657801,19.9876864926979,4.78490553180824e-07,0.000259225000079858,7.30523103064949
"NBEAL2",-1.22657816350273,4.58861494597974,-19.9102311919218,4.90456283170774e-07,0.000259225000079858,7.26200000683475
"LOC117870435",-4.74515437334871,0.5939023363788,-19.7045266957825,5.23946291779086e-07,0.000259225000079858,6.07809890808687
"PFKM",-1.43999575929196,6.98473166200414,-19.691249757207,5.26196898160859e-07,0.000259225000079858,7.20422696849857
"LOC117878734",3.6321174040056,1.90415253792877,19.5833201493819,5.44911654920209e-07,0.000259225000079858,6.78948509831822
"PTGS2",-1.84864765300874,4.39909720698781,-19.5484618049485,5.51119116687821e-07,0.000259225000079858,7.15269876876842
"ATF3",2.63812909164312,6.52523893623901,19.3157356211159,5.94714798024797e-07,0.0002671299809871,7.07922316541622
"EEF1AKNMT",-1.29632128985954,4.50195169012127,-19.253420481196,6.07054139106743e-07,0.0002671299809871,7.04404682384076
"LOC117888839",3.84924428982948,2.57694933681038,19.2128199863379,6.15252421809302e-07,0.0002671299809871,6.85374584015524
"CHRDL1",2.33829138921568,6.14841176191983,19.1110109845918,6.36377662708996e-07,0.000267340416134699,7.00369888054851
"RNPC3",-1.44676996614545,4.32742527808173,-19.0085634624733,6.58483819784615e-07,0.000267340416134699,6.96681087164543
"CSRNP1",1.56855585315626,6.34064431620026,18.9876639927443,6.63101486898798e-07,0.000267340416134699,6.95680483582404
"EPHB1",1.99129697340731,2.87615832288564,18.8466913402461,6.95242218787078e-07,0.000273779918388874,6.90060083801578
"AEBP2",-1.15435051289709,6.17840375999057,-18.5579202652715,7.66854105217161e-07,0.000295116830991868,6.7968356238937
"LOC117875873",-1.82433211156254,4.13824488647442,-18.4008767882786,8.09351699613986e-07,0.000299212558716607,6.76516424041638
"LOC117871309",-1.31947312211652,4.75244284183528,-18.319374943683,8.32473434992335e-07,0.000299212558716607,6.70717181104815
"OTUD1",2.02649620726952,6.39093924894522,18.2932054887753,8.4005839538377e-07,0.000299212558716607,6.71558984790448
"PDE4B",1.30110825649919,4.66943092964652,18.0060245375865,9.28748434991619e-07,0.000299212558716607,6.60294367853971
"LOC117886985",-6.79391376081411,-4.55464300655382,-17.8597214580436,9.78054281880664e-07,0.000299212558716607,3.06839313522148
"LOC117872705",-1.98293871414714,2.80324911528831,-17.8515723175738,9.80888126819751e-07,0.000299212558716607,6.57976764395186
"LOC117875744",4.41511289795736,0.784632825768286,17.8264628171362,9.89679567112083e-07,0.000299212558716607,5.7565932300606
"PARVG",2.22726757434452,2.68865915245748,17.8071794223771,9.96492811246538e-07,0.000299212558716607,6.54122157361142
"CREM",1.68857310373954,2.84405218730077,17.7730811718019,1.00867318496889e-06,0.000299212558716607,6.55158871238966
"LOC117882302",-2.0176919283833,3.82403700420292,-17.7635853199307,1.0120957149743e-06,0.000299212558716607,6.54943938566287
"KLHDC4",-1.1575064278051,3.84237826608978,-17.7548918009673,1.01524080225758e-06,0.000299212558716607,6.53555454495069
"CISH",2.93481886870971,5.58419634436605,17.7542518738949,1.01547275571579e-06,0.000299212558716607,6.52745095401661
"SLC25A18",1.2241251860733,4.03646348598029,17.741178106371,1.02022497872581e-06,0.000299212558716607,6.52916539454087
"LOC117868101",1.69482597197446,3.30936851593212,17.6857939926467,1.04064300434402e-06,0.000299212558716607,6.53281298078538
"YTHDC1",-1.07739799749463,6.37136224002614,-17.6806786627062,1.04255246939584e-06,0.000299212558716607,6.47951602251409
"ELL2",1.18643784135251,5.8340014984464,17.538593375543,1.09723932845759e-06,0.000307104477951661,6.4168867235647
"TMCO4",1.46960386621976,4.89064411669327,17.515782846939,1.10632334229323e-06,0.000307104477951661,6.41604526261612
"KDM4B",-1.0979065464539,5.14094461864629,-17.4090601487692,1.14999225809817e-06,0.000309349259363937,6.35459205502641
"TGFBR1",-1.4629343751164,3.96928783009836,-17.4067767510911,1.15094805054792e-06,0.000309349259363937,6.40272618296518
"S100B",3.1355211001781,5.02448398130994,17.3367585824123,1.18070566338493e-06,0.000309733376077076,6.38477981213812
"STARD10",-1.83782431419953,3.68446711745025,-17.2983921176353,1.19738683936751e-06,0.000309733376077076,6.38023064850604
"LOC117886203",-5.70969733766517,-1.50510078915761,-17.2428001107679,1.22204152214876e-06,0.000309733376077076,4.03605823088493
"IFI6",5.84315863638226,5.17466220171447,17.186575686543,1.24757345228624e-06,0.000309733376077076,6.3480247445981
"LOC117888980",-8.28491872619927,-3.81047675870938,-17.1685278112435,1.25589903175337e-06,0.000309733376077076,3.2028774741362
"STK17A",1.30838849987625,3.71832270908569,17.1551161193345,1.26212738140426e-06,0.000309733376077076,6.32505383358892
"IRS2",-1.14644998288377,4.60445096847831,-17.0901886551396,1.29278717745947e-06,0.000312725218227447,6.24475707940361
"TEX47",1.43529113288046,3.70801909653342,16.9494856684499,1.3622213303416e-06,0.000324880194178511,6.24890966758933
"PUS7",-1.3364827108537,4.55723732570144,-16.889872323157,1.39292824553426e-06,0.000327589638633772,6.17032184176561
"CHD2",-1.13989152196504,7.26536109810495,-16.7570067382353,1.46428121732353e-06,0.000339653066478621,6.15305223687209
"AGA",-1.16706493092931,3.6331334244067,-16.6412089459795,1.52991886776075e-06,0.000346264068271168,6.12150591326554
"LOC117873883",1.23163479923808,3.63190675750529,16.5672051637439,1.57364106186444e-06,0.000346264068271168,6.10074374004715
"TMEM117",1.52345135546338,2.6298717435976,16.5671286896814,1.57368698197408e-06,0.000346264068271168,6.115121663411
"DHX58",1.68984628123015,4.64754861314171,16.5562000037314,1.58026519012039e-06,0.000346264068271168,6.05265623320645
"LOC117882557",-9.54578575992045,-3.18042080653145,-16.5318645863744,1.59502730320387e-06,0.000346264068271168,3.22825360892375
"SPAG6",1.7860803134853,3.24379977623816,16.4500236857385,1.64585102357377e-06,0.000348686482329127,6.07533602191599
"ISLR",1.76112892400624,3.08615279265979,16.4476224384111,1.64737014033722e-06,0.000348686482329127,6.07612075339342
"CIP2A",2.01355265238816,3.80649798233558,16.3994289448871,1.67820323812773e-06,0.000350827351002677,6.03958005973326
"LOC117886979",-1.39767762569613,2.90759451208835,-16.2527261431002,1.77623199128908e-06,0.000356911336193562,6.0003315177769
"CNTN5",3.92280278366183,-0.326657073400529,16.2376226625581,1.78669368191152e-06,0.000356911336193562,4.90711099037784
"SUN3",1.72003613079647,1.99488983056533,16.1357408566136,1.85914699018273e-06,0.000356911336193562,5.90750171254716
"LOC117887046",2.13263017438743,4.82424173408502,16.1219370679496,1.86922151601117e-06,0.000356911336193562,5.88136478819712
"LOC117880550",-8.01272162879734,-3.94720758361947,-16.1189456701537,1.87141303104119e-06,0.000356911336193562,3.06377534282139
"NEB",-3.59233349044508,2.72917356087775,-16.0610011307445,1.91445290662751e-06,0.000356911336193562,5.90705912532979
"DCSTAMP",3.12037133737736,-0.131062942855832,16.0582009437756,1.9165615236769e-06,0.000356911336193562,5.11053483567791
"LOC117875886",-2.41355551502137,1.16758216648687,-16.0463027863875,1.92555103741034e-06,0.000356911336193562,5.72552755085942
"SPIRE1",-1.26686718495851,5.19983500857496,-16.0010092402461,1.96021916223228e-06,0.000356911336193562,5.78579365581405
"CETP",-1.46903648502729,5.23864198881048,-15.9886748208427,1.96978420345428e-06,0.000356911336193562,5.78391344806319
"NANS",1.36023544690456,5.14972681942159,15.9804330196819,1.97620547565938e-06,0.000356911336193562,5.79118942651354
"KLHL29",1.24832505704415,3.45796930173571,15.9738924403593,1.98131846702857e-06,0.000356911336193562,5.87229664757948
"TMEM82",5.92822788647157,-4.71625506103403,15.941200852568,2.00710406123185e-06,0.0003577504533562,2.82757287968439
"LOC117870481",4.39148589524764,1.33606247147508,15.8805597416394,2.05596515875687e-06,0.00036023931035987,5.48509778659921
"DOC2B",1.85482094200851,3.20288696114319,15.8533868978309,2.07830290659119e-06,0.00036023931035987,5.84143290144923
"IGSF21",-1.14549648697212,4.36157410202826,-15.8285115450693,2.09899730176614e-06,0.00036023931035987,5.740557985305
"LOC117880469",2.1848084276156,1.847361678842,15.7643377064169,2.15348988357653e-06,0.00036023931035987,5.74053593791507
"LOC117873867",5.70582796646315,-1.35264095164132,15.7619224873716,2.15557233295316e-06,0.00036023931035987,3.77838704663904
"LOC117869582",2.45204344426839,1.73087638571587,15.7562977351308,2.16043109946943e-06,0.00036023931035987,5.70906180382009
"FZD4",-1.1120281402426,5.75296713783801,-15.7452763739507,2.16998816847025e-06,0.00036023931035987,5.67923115456357
"LOC117869578",-6.55956112808068,0.061809594020499,-15.665551015132,2.2405894754299e-06,0.000362882181585689,4.54362829880997
"ANGPTL7",4.16277071123115,2.29841701498762,15.6558449208146,2.24936403689375e-06,0.000362882181585689,5.66154955054689
"C6H5orf34",-2.52110157853492,0.683585090445577,-15.6549229754604,2.25019955509935e-06,0.000362882181585689,5.45987864058421
"LOC117869575",2.01985348482523,2.62539410561707,15.5755235210285,2.32351502003248e-06,0.000366929802926642,5.73183142999038
"HYI",-2.11249853967375,2.17295133658281,-15.5535962334327,2.34424424532143e-06,0.000366929802926642,5.70888476733893
"MNS1",1.85475069199137,1.68235401461948,15.55209096288,2.34567506373283e-06,0.000366929802926642,5.65212892923957
"LOC117879766",1.28566344056043,8.5480080138019,15.4852618464454,2.41022387053327e-06,0.000371021098179453,5.67748307381222
"C7H10orf105",1.67736952109248,4.08059485633455,15.4223068842619,2.47290790782977e-06,0.000375142248787305,5.61008946885477
"APOLD1",2.00464567515035,2.9670417338859,15.385323075796,2.51060713139398e-06,0.000375142248787305,5.65682608819638
"LOC117886202",-5.4466120985254,-1.88407825692726,-15.3727648107014,2.52355849961438e-06,0.000375142248787305,3.57410989907437
"LOC117869834",-2.31034501159939,0.790316071994284,-15.3533723665116,2.54370937270682e-06,0.000375142248787305,5.40557787757071
"CPAMD8",2.13888690949599,6.08254023255976,15.3494877208875,2.54776818109845e-06,0.000375142248787305,5.53895457950591
"PSTK",1.34213676691125,3.12230514174532,15.291380111994,2.60937975671073e-06,0.000378345061897681,5.60737215300752
"LOC117872641",-1.3940188776577,2.67855577943969,-15.2868939855657,2.61420730183834e-06,0.000378345061897681,5.61630983863776
"DHRSX",-1.32831601233584,2.72508755150707,-15.226000589754,2.68076265227861e-06,0.000380172411139076,5.58983700006915
"DNAJC10",1.55806616472318,4.54747684878917,15.2085444302454,2.70020022154309e-06,0.000380172411139076,5.48305963452808
"CKS1B",-2.21430608692144,3.12080165307596,-15.1948173336488,2.71559945799324e-06,0.000380172411139076,5.57059938131588
"HDHD3",-1.3708940851562,3.02356854826538,-15.1702762959794,2.74338256256628e-06,0.000380172411139076,5.55515777500273
"TRIB1",1.32228692264429,5.21762901580097,15.1444185337721,2.77301100011688e-06,0.000380172411139076,5.42493598476235
"SNRPA1",-1.0988072171256,4.10951320362557,-15.1156178511017,2.80644607526041e-06,0.000380172411139076,5.44639559410225
"LOC117882154",-1.29872956331697,4.05594395715296,-15.061683141046,2.87031583905563e-06,0.000383153437505181,5.43019453972574
"LOC117888463",-1.67748179437892,3.35061309581933,-15.0083734770044,2.93509516056573e-06,0.000388231638565305,5.46963605291291
"BLM",-1.57741923373035,3.05836055088762,-14.9131146196797,3.05508629112716e-06,0.000397936739751201,5.44492173847316
"LOC117881924",6.26744674007638,-4.54836909796229,14.8913802400672,3.08324888720078e-06,0.00039853933898451,2.75856641364752
"CCN1",2.94456060195093,5.70607616501342,14.8412651235219,3.14933262978549e-06,0.000403997344092104,5.33120678346038
"LOC117867962",-2.45092598401974,0.678555177726008,-14.7935692339273,3.21374464164196e-06,0.000407072533261423,5.17765074796613
"VHL",-1.39925378265367,3.0861060716117,-14.7879844608881,3.22138542827796e-06,0.000407072533261423,5.38649186100606
"LOC117883426",10.2571624975763,-1.77498223417086,14.7643343459206,3.2539748587756e-06,0.000407929528594967,3.06599722060993
"DOP1A",-1.35639985192103,4.67566863367436,-14.6948739897513,3.35190600793867e-06,0.000407929528594967,5.223377816322
"LOC117878487",-2.71818816463951,1.29544106186204,-14.6843111744908,3.36709360032446e-06,0.000407929528594967,5.25723441133832
"LOC117877039",-3.60782867181531,-0.5546639607116,-14.6831236198801,3.36880605624127e-06,0.000407929528594967,4.55690434124525
"LOC117883596",-3.83186286569304,0.84324677138642,-14.6682149120036,3.3903899470088e-06,0.000407929528594967,5.07029307973644
"LOC117867787",-3.54768423731189,1.33478833605547,-14.6638063120896,3.39680290154671e-06,0.000407929528594967,5.21343142603755
"THUMPD1",-1.24636474006723,2.92035962660797,-14.5339504432238,3.59210997509203e-06,0.000418789807213487,5.28259369508687
"LOC117880829",4.36632278210726,3.75873259980081,14.5321017534047,3.59498231661487e-06,0.000418789807213487,5.30080981437387
"LOC117888496",-1.58567742109816,2.75595918573915,-14.5305711570333,3.59736243110734e-06,0.000418789807213487,5.29237923830015
"LOC117875327",7.8251327031063,-0.441277393074278,14.5304701654879,3.59751953917622e-06,0.000418789807213487,3.55218892440764
"CCDC124",-1.0942736010496,6.56954329539106,-14.4865870210732,3.66653995699497e-06,0.000418789807213487,5.14598740417383
"LOC117885139",6.74500742744308,-4.30196795164202,14.4429760527031,3.73664634762633e-06,0.000418789807213487,2.76676482121412
"LOC117884637",-5.02733581548387,-2.03016728093604,-14.426046992397,3.76427522598818e-06,0.000418789807213487,3.41046386322371
"LOC117870390",4.40284419127463,0.231606573793246,14.421419489116,3.77186835373821e-06,0.000418789807213487,4.62875190654934
"LOC117883055",5.53853801091039,-0.449179276701958,14.414035065771,3.78402176245577e-06,0.000418789807213487,4.08796679656979
"LOC117888598",-2.93376669887626,3.61020378185479,-14.3951537769521,3.8153023747298e-06,0.000419509838385064,5.20844499789488
"LOC117884630",-5.03837689954537,-1.68185651224341,-14.3442932727027,3.90105415377943e-06,0.000422944265713338,3.60672842945947
"ZDHHC4",1.10032872906596,3.24346010125806,14.3323457685163,3.92151826502178e-06,0.000422944265713338,5.17473180824795
"LOC117879115",-1.69635113155013,3.22101002006134,-14.31929544948,3.9440126195728e-06,0.000422944265713338,5.17136727979752
"CDH26",-1.92587902101349,1.29594272069788,-14.3153315192212,3.95087447364246e-06,0.000422944265713338,5.14135512375119
"DCAF17",-1.91782390169206,4.99824390184159,-14.2558603744564,4.05549057149454e-06,0.000422944265713338,5.01925719792952
"ACACA",-1.04854756449695,4.25380299617488,-14.2482992951004,4.06901835094674e-06,0.000422944265713338,5.03474084756831
"LOC117869551",1.08068093295074,3.71615966586463,14.2460514769706,4.0730500048806e-06,0.000422944265713338,5.09339190525951
"LOC117873168",-1.74853796822658,2.08404655517857,-14.2364130031553,4.09038962434143e-06,0.000422944265713338,5.17132662597078
"LOC117886640",2.3430524134998,1.05291800747729,14.1903634831632,4.174414042694e-06,0.000422944265713338,5.01884136322777
"LSP1",1.15933808099687,5.84308429934032,14.1715660037176,4.20928251626226e-06,0.000422944265713338,4.97319515309397
"SOX4",1.11643186401953,6.04113507766628,14.1701466302468,4.21192896930644e-06,0.000422944265713338,4.97729247453723
"MOCOS",1.55055115286541,3.76056514008973,14.1678627588346,4.21619131753659e-06,0.000422944265713338,5.06628067198305
"LOC117876228",-6.21086309235197,-3.0140008755221,-14.1670259514651,4.21775427833632e-06,0.000422944265713338,2.80604744712349
"SLCO2A1",-1.20027107445664,6.51013012051447,-14.1651823346367,4.22120007710117e-06,0.000422944265713338,4.99106488228697
"FGL1",1.50868624092866,3.76061087940999,14.1377581244479,4.27284149462546e-06,0.000425600147226429,5.05063300836327
"LOC117878149",5.89001438024552,-4.73170635879786,14.1016519048642,4.34194411087248e-06,0.000427588026525584,2.59008058910082
"LOC117881784",-1.61317698528913,4.75585754540618,-14.0876331160974,4.36912016332307e-06,0.000427588026525584,4.93850223346088
"KCNE3",-1.04934086526655,3.69434612846987,-14.0232892001431,4.49639132952215e-06,0.000427588026525584,4.97745768782241
"HGD",-2.67460418380475,0.30207113533038,-14.0088394507224,4.52555606576644e-06,0.000427588026525584,4.78269873907699
"CLK4",-1.13855203287241,3.74042516749627,-13.9996367468398,4.54424383876091e-06,0.000427588026525584,4.96339076833239
"LOC117870088",-1.44717218314155,3.36789910398514,-13.9715834419819,4.60176140633815e-06,0.000427588026525584,4.99207612937293
"TEDC1",-1.53434420167466,3.47387491686071,-13.9684509963287,4.60823567668135e-06,0.000427588026525584,4.98228466112214
"LOC117869759",2.43581348784691,3.08932838444063,13.9592428015355,4.62732832769281e-06,0.000427588026525584,5.0385200199718
"JUN",1.44640728723058,8.05337370945126,13.9577434350917,4.63044578434909e-06,0.000427588026525584,4.97566659616042
"ANXA8L1",-5.52748138631169,-5.18678898369596,-13.9493868824166,4.64786490960764e-06,0.000427588026525584,2.39620048708942
"LOC117880907",3.09672445794131,-0.871831306311355,13.9380699056607,4.67157532080748e-06,0.000427588026525584,4.19532483064921
"LOC117879728",-3.38902840885896,0.367823332879844,-13.8843930987143,4.78594714476964e-06,0.000434527389936053,4.70120827922378
"LOC117884437",1.2316459728221,3.78508582258006,13.8613086112436,4.83612269770252e-06,0.000434527389936053,4.90793328697625
"MYO15B",2.83716980845188,1.00632746962938,13.8546084597823,4.8507990178072e-06,0.000434527389936053,4.85244616411094
"LOC117873095",-1.4225247328901,4.09078652671677,-13.8328648707064,4.8987813352221e-06,0.000434527389936053,4.85586693130377
"LOC117868483",1.88533826123264,6.60097218074273,13.8109372282282,4.94772362147771e-06,0.000434527389936053,4.83452677819321
"LOC117887061",3.61559001613812,-0.0494076536246085,13.8008158774843,4.97050396725416e-06,0.000434527389936053,4.43970844200098
"GPR158",3.38129201225524,1.32675379734292,13.7945844057426,4.98458928500929e-06,0.000434527389936053,4.85665124198547
"LOC117879537",-2.05234170089446,3.1491687349163,-13.7860272125266,5.00400643935099e-06,0.000434527389936053,4.9354327825305
"SLC22A3",-1.24701057341057,4.03801146685687,-13.7350742264568,5.12144183476199e-06,0.000440210023289466,4.80833489232335
"FBF1",1.06112848337678,3.56567700596518,13.7208430326626,5.15480587128544e-06,0.000440840039487254,4.85652701044325
"SMIM35",-5.39750578194655,-5.25234368935323,-13.6822542685979,5.24654003219522e-06,0.000446430464146541,2.33040376990508
"NPL",1.87606901376611,3.33353857941108,13.6693397272727,5.27765917887449e-06,0.000446833014379409,4.87521268016472
"ZNF106",1.04733893256172,5.96601293038065,13.6356117910366,5.35993710778532e-06,0.0004515413683887,4.71155160755611
"NRXN2",1.36968611494903,4.22845330320217,13.6165145526703,5.40717790000974e-06,0.000452701564280909,4.75165976321681
"TRPM3",4.20353489425353,-1.37617662424198,13.5989551175923,5.45103770035694e-06,0.000452701564280909,3.67217431416761
"CHADL",4.33524850045552,3.11647450217195,13.5978094193148,5.45391360735283e-06,0.000452701564280909,4.88805857461741
"ENKUR",3.37247428673779,-0.292383680121462,13.5669597835618,5.53201184921962e-06,0.000454726003120562,4.30018016412458
"RBKS",1.72644160206707,3.58470738766357,13.4983445064671,5.71037431752363e-06,0.000463347628324688,4.76590125714296
"LOC117869049",-3.47867713295879,1.50149743563388,-13.4700255822169,5.78591006841129e-06,0.000463347628324688,4.77190934792119
"C7H3orf14",-1.28122041447204,3.03598940795986,-13.453217889556,5.83128490134308e-06,0.000463347628324688,4.7701632030596
"LOC117877392",1.24930292299683,3.59157995272244,13.4389693121976,5.87007178585215e-06,0.000463347628324688,4.72077224160794
"FSD1",1.50179797023015,1.89603931089733,13.434751707301,5.8816096315167e-06,0.000463347628324688,4.81116471307546
"STRBP",-1.22807336496826,3.85469708001361,-13.4310497362435,5.89175838787472e-06,0.000463347628324688,4.67447507985523
"LOC117876612",-6.88499871419773,-4.50569440248706,-13.4089023846443,5.95289653716178e-06,0.000463347628324688,2.55072146084154
"METTL16",-1.03588016531509,3.66230063180128,-13.4023570032341,5.97110464099436e-06,0.000463347628324688,4.67641376775969
"HAUS3",-1.09387748665514,3.32346965484378,-13.3904423345347,6.00441383770957e-06,0.000463347628324688,4.70782605168051
"LOC117876247",1.13663531790034,3.18048074957516,13.3854706332212,6.01837611110117e-06,0.000463347628324688,4.73153786794117
"WDR27",-5.49128839000944,0.409293013721465,-13.3848970744757,6.0199892654244e-06,0.000463347628324688,4.29220578353019
"DMTN",-1.09569135579751,7.51942286582699,-13.3517157135009,6.11416523180678e-06,0.000467513497092661,4.64577444704666
"LOC117879924",-2.38202205784989,0.0294715041874229,-13.3442924522236,6.13546533746016e-06,0.000467513497092661,4.48290946508073
"LOC117882099",-1.32853437218485,2.71089326839496,-13.3368373828997,6.1569426475913e-06,0.000467513497092661,4.74061354845189
"FOXA3",5.50763080743369,-4.92865811312119,13.3234706824764,6.19566764573323e-06,0.000468353751094647,2.4024995475796
"LOC117888241",1.34091654933421,2.81742826029818,13.3030453084073,6.25538485468306e-06,0.000470766363308214,4.72458759097206
"OGA",-1.1662988929038,6.47764960597778,-13.2755586166477,6.33679488519745e-06,0.000474643511105814,4.54781682285244
"LOC117870611",-2.68677250585361,0.794822669941544,-13.2600519803288,6.38325973804966e-06,0.000474643511105814,4.61235823104196
"STX7",1.05607788512323,4.89889054391509,13.2440127938446,6.43173308370477e-06,0.000474643511105814,4.51027505815173
"RACGAP1",1.18503207610777,3.31565905644834,13.2389713822218,6.44705649054138e-06,0.000474643511105814,4.64701943915479
"CCDC69",1.0591345360424,5.69041711936677,13.2205510321219,6.50340333337782e-06,0.000476719171619423,4.49313535091789
"CFAP53",1.69833147670667,2.36488782416311,13.1991528000356,6.5695717890946e-06,0.00047681200455733,4.7003761495233
"RPH3A",-6.22350585695395,-4.84052028763483,-13.1796179381816,6.63065503463664e-06,0.00047681200455733,2.40880619239223
"LOC117868803",2.08893120515159,5.70091342136481,13.1671610800229,6.66994718749457e-06,0.00047681200455733,4.49323997694796
"LOC117878067",2.48258728327846,1.47920296745214,13.1528475577882,6.71542674876077e-06,0.00047681200455733,4.64691368521773
"PLXNB1",1.3920246767656,6.92409702003142,13.1483034246459,6.7299397088054e-06,0.00047681200455733,4.51236297682973
"LOC117885735",-7.26409757519658,-3.78965834375309,-13.100121722897,6.88606088657486e-06,0.000481825078480877,2.60228313197076
"FGB",-1.61422057522175,1.27746104268618,-13.0536401109591,7.04063244754908e-06,0.000488602578829297,4.6115974957909
"LOC117870456",1.35187496946797,2.47275240965054,13.0395802348191,7.08817090687228e-06,0.000489893869249259,4.61620321992415
"LGALS12",1.18680556556044,3.51963825712609,12.9996951377691,7.22504959623903e-06,0.000496925115968842,4.50437819805013
"LOC117869889",1.17354804786786,3.3843517991334,12.992921099412,7.24859762855395e-06,0.000496925115968842,4.51517070610758
"ABCG5",1.52110306143189,1.52868942654455,12.9602604766069,7.36337881515498e-06,0.000500739331233009,4.58019385102014
"CDC20",2.1738617965279,0.481543676941293,12.9423049142524,7.42737075454679e-06,0.000503070675946963,4.41969107236034
"LOC117876310",1.93458754993328,1.6633407334726,12.8629913531294,7.71779660864021e-06,0.000518593055452796,4.53725500759743
"CDCA8",1.64157305213037,1.77328027715168,12.8517225353471,7.76011040467092e-06,0.000519375294396414,4.5373948279133
"LOC117886995",-1.26642446151514,4.06378390295399,-12.8247582112941,7.86244712677006e-06,0.000522736119850313,4.34154198124608
"SGTB",1.29467476864784,4.09252542182138,12.8222442737098,7.87206700300182e-06,0.000522736119850313,4.35483369990142
"MAP3K7CL",1.490520825187,1.96025503889902,12.7900701091743,7.99638776057223e-06,0.000526130947070359,4.50963628171329
"SLC25A45",1.01892577075166,5.52470659428713,12.7828063985502,8.02476609722768e-06,0.000526130947070359,4.25884716029156
"HSD17B2",-3.52478214415498,-1.30794767421243,-12.7636538385939,8.10014938797506e-06,0.000527537806102237,3.66815378522522
"ARID5A",1.59930229701465,7.02526469702559,12.7215779439902,8.26863427142294e-06,0.000534755459969885,4.2965497860808
"LOC117888493",-3.37685229857459,0.721828942468897,-12.7124498261295,8.30571581952871e-06,0.000534755459969885,4.3359840267498
"DPY19L1",-1.80493382704535,5.93795343303147,-12.6902732185837,8.39660397147507e-06,0.000538559450943134,4.2238524967824
"GCKR",-3.88776853833237,2.79884997856147,-12.6403186902101,8.60555684545727e-06,0.00054659514681995,4.43170310195194
