"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC117872690",3.93192472594509,4.71274576856722,47.2291557542661,1.93420691145022e-09,3.27519256315865e-05,11.650756368042
"ANKRD1",3.80525192262526,3.62398772588566,29.6794421462926,3.82680008919008e-08,0.0001800267725833,9.33410404009053
"PLOD2",2.33365543305515,5.39072845576213,29.113641184817,4.32931687491074e-08,0.0001800267725833,9.63024221510326
"FICD",2.10508076029617,3.6645178655379,28.9286105044729,4.50988744598536e-08,0.0001800267725833,9.44072588524196
"METTL21C",3.48610518797933,6.34035279042066,27.8483319387867,5.75525352506099e-08,0.0001800267725833,9.33482497725838
"LOC117871743",4.12120346923735,4.17690179116771,27.4044689859645,6.37902696214375e-08,0.0001800267725833,9.03476118314503
"LOC117877909",-1.87691797642062,5.42369416490783,-25.9212639790381,9.10830197300703e-08,0.00022032982472704,8.95030080417102
"DCLRE1A",4.02540538218112,6.47956035138014,25.0462522007404,1.13456175121364e-07,0.000224529479799474,8.69528173104304
"SUSD1",-1.66501814819692,5.07549300753751,-24.534636316154,1.29458609805104e-07,0.000224529479799474,8.60714317389212
"LOC117875887",-2.93018870130642,1.77552704109375,-24.4428132252764,1.32598759699683e-07,0.000224529479799474,7.93596592975152
"LOC117879675",-9.35060499691616,-3.27635492028508,-23.5446433882775,1.68430950276947e-07,0.000224651844235681,3.72624372220899
"NCAPH2",-2.30715600227344,2.78883431552816,-23.3928919079495,1.75531975553701e-07,0.000224651844235681,8.13085010185244
"LOC117876623",5.07753161838841,1.99966517531784,23.3449332514627,1.77847518753102e-07,0.000224651844235681,7.31571995369368
"LOC117873503",-1.49680391139042,4.84951946788876,-23.1867320190037,1.85739433018339e-07,0.000224651844235681,8.24844301451322
"ANAPC1",1.45612793299165,4.89939155964331,22.7218176496936,2.11376140288169e-07,0.000224694687230028,8.11960580803525
"UCP2",-1.37752119516211,4.46294750611531,-22.5388317020903,2.22569515256741e-07,0.000224694687230028,8.0681886898101
"LOC117870466",-4.02066954727627,4.85493998308041,-22.4913652134877,2.25583752607953e-07,0.000224694687230028,8.0361480455046
"LOC117883513",-2.03542043388098,2.41433607702132,-21.7062425503907,2.82962394904008e-07,0.000254984261995692,7.65664451038189
"LOC117872064",-5.40175385665435,2.11529271575402,-21.5072642573907,3.00071190705416e-07,0.000254984261995692,7.09278800082302
"MEI1",-3.26539774689166,1.13501461872612,-21.4949519357849,3.01168442680791e-07,0.000254984261995692,7.01864175009065
"LOC117878400",8.69554088700391,-3.33737992063104,21.1390009626044,3.34983831230323e-07,0.000259225000079858,3.59140450344617
"CCDC182",-1.75123031534942,4.81272353731331,-21.0236481971067,3.46867352976863e-07,0.000259225000079858,7.61837272107719
"MVK",-1.36212616068727,4.98363506270634,-20.9441656810565,3.55338586272196e-07,0.000259225000079858,7.58888830810851
"LOC117887146",-1.19485439511116,5.69645775118246,-20.531099158896,4.03396881064867e-07,0.000259225000079858,7.45706298623517
